ts,posx_gt,posy_gt,posx_meas,posy_meas,velx,vely
1.100000000000000006e-01,-1.302222126835740068e-01,2.071568939502069995e+00,-1.619372353979799284e+00,1.654803512588909120e+00,-2.242076628333298238e+00,2.852482111982223856e+01
1.199999999999999956e-01,-1.538868265700680527e-01,2.259528964033295395e+00,3.686662386537317149e-01,5.268059848710742621e+00,-3.661831485068791192e+00,1.111652308268651979e+01
1.300000000000000044e-01,-1.795192731605102510e-01,2.447396065488993244e+00,-3.493224142402479027e-01,2.475100232199254346e+00,-1.086815634714134005e+00,-3.851796320923583039e+00
1.400000000000000133e-01,-2.071185405297990278e-01,2.635162827197677693e+00,2.483184295660356422e-01,3.044472899854644865e+00,4.310040698129471437e+00,1.289142134527329908e+01
1.499999999999999944e-01,-2.366835391061161420e-01,2.822821836449105337e+00,-1.176871358018157565e+00,3.399414675194629698e+00,-8.051754174497261829e+00,1.019381994614774278e+01
1.600000000000000033e-01,-2.682131017139411933e-01,3.010365684786914020e+00,-9.454951538234486197e-01,2.691411762474889446e+00,1.322833963113137301e+01,1.547606401790108777e+01
1.700000000000000122e-01,-3.017059836201296807e-01,3.197786968301098209e+00,6.727108018370621112e-01,4.928407420133045669e+00,-1.278312452826554235e+01,8.589607664979046930e+00
1.799999999999999933e-01,-3.371608625830528894e-01,3.385078287920301410e+00,-1.388129486056538742e+00,5.154062747191868965e+00,-2.486272577944082585e+01,4.064636917799628435e+00
1.900000000000000022e-01,-3.745763389047979119e-01,3.572232249703918949e+00,-1.165787566885391424e+00,2.712626301428697317e+00,3.148147477291541652e+00,1.002801723336814455e+01
2.000000000000000111e-01,-4.139509354864250867e-01,3.759241465133998705e+00,-5.832464182031802391e-01,3.313350276599883681e+00,9.293734265833316854e+00,1.679110242009117471e+01
2.099999999999999922e-01,-4.552830978862815181e-01,3.946098551406926447e+00,-1.445066323273648479e+00,4.440739367526438386e+00,-6.661871862032558766e+00,2.708557996684763580e+01
2.200000000000000011e-01,-4.985711943813676550e-01,4.132796131724886912e+00,1.029621179543631193e+00,3.760771313366050972e+00,-1.205731385073549866e+01,9.450105829715043981e+00
2.300000000000000100e-01,-5.438135160317548733e-01,4.319326835587085966e+00,2.095867333850076619e-01,6.262900854991734434e+00,-1.719395878641855546e+01,2.643258805034434289e+01
2.399999999999999911e-01,-5.910082767480517862e-01,4.505683299080727622e+00,-5.015770925071859621e-01,3.615834980700728174e+00,6.380049668065351121e+00,3.440981853045606442e+00
2.500000000000000000e-01,-6.401536133619156743e-01,4.691858165171725936e+00,-3.136220401308815742e-01,4.241198379891305770e+00,-2.884725677488798112e+01,1.016403784962168899e+01
2.600000000000000089e-01,-6.912475856996072032e-01,4.877844083995150903e+00,-1.985802891947207938e+00,3.478033541627722158e+00,1.885153960503979320e+00,2.459650405992263700e+01
2.700000000000000178e-01,-7.442881766585854875e-01,5.063633713145385684e+00,-1.386025664608491637e+00,5.333327998592380048e+00,6.504307335341052543e+00,5.901186274124452069e+00
2.800000000000000266e-01,-7.992732922871395029e-01,5.249219717965994292e+00,-1.609418982779362128e+00,4.496146938931889103e+00,-2.857929563398611705e+00,2.388279901333353195e+01
2.899999999999999800e-01,-8.562007618670538500e-01,5.434594771839280192e+00,-2.649940981987958910e+00,4.522021568796868785e+00,-5.311913165015918814e+00,1.631290355295062255e+01
2.999999999999999889e-01,-9.150683379993048705e-01,5.619751556475529597e+00,-2.143662364034543799e+00,6.050320541265962859e+00,3.335945677122234443e+00,1.980903437746177076e+01
3.099999999999999978e-01,-9.758736966927843426e-01,5.804682762201925250e+00,-4.338527945002446096e-03,5.363406138505991905e+00,-9.601040743659680743e+00,2.320256951547928992e+01
3.200000000000000067e-01,-1.038614437456046424e+00,5.989381088251116481e+00,-1.361904343328904199e+00,6.298583076584691298e+00,6.333934911462735684e+00,2.379000398216189183e+01
3.300000000000000155e-01,-1.103288083392075292e+00,6.173839243049446424e+00,8.095333958288117859e-01,6.453536970123519012e+00,-2.710486078229673979e+01,3.444655602788850501e+01
3.400000000000000244e-01,-1.169892081296068254e+00,6.358049944504805318e+00,-1.660862859105849410e+00,6.332307500220990093e+00,-1.347636615324664966e+01,1.791880243571949194e+01
3.500000000000000333e-01,-1.238423801756232567e+00,6.542005920294119647e+00,-2.166894074271449533e+00,5.026371277987681907e+00,-4.659464045866822168e+00,3.524275334413259486e+01
3.599999999999999867e-01,-1.308880539257589515e+00,6.725699908150448714e+00,-1.211596665072991463e+00,5.735941472743684599e+00,-2.326823821317432106e+01,2.070148124087772601e+01
3.699999999999999956e-01,-1.381259512288783631e+00,6.909124656149685961e+00,-3.401312139793693845e+00,7.365684739529102742e+00,-1.290141905393226374e+01,1.583038174552762811e+01
3.800000000000000044e-01,-1.455557863451892420e+00,7.092272922996853524e+00,-8.080005733929735978e-01,8.498161845538696468e+00,-7.533451073658373076e+00,1.709203625789905701e+01
3.900000000000000133e-01,-1.531772659575231010e+00,7.275137478311976658e+00,-2.399744401753902689e+00,7.891679464743527106e+00,-3.650631426609275110e+01,1.409260933799808946e+01
4.000000000000000222e-01,-1.609900891829149305e+00,7.457711102915525636e+00,-2.174349805207797637e+00,7.000919291506569664e+00,-1.468831303552314793e+01,2.585977447922159911e+01
4.100000000000000311e-01,-1.689939475844814742e+00,7.639986589113417992e+00,-9.493800701755270577e-01,8.662506157916849858e+00,-1.556867787133394287e+01,4.336767742127511838e+01
4.199999999999999845e-01,-1.771885251835978448e+00,7.821956740981563350e+00,-1.560945180322851344e+00,7.965736174019766302e+00,-6.480053339946756807e+00,8.277478474154943200e+00
4.299999999999999933e-01,-1.855734984723717673e+00,8.003614374649949070e+00,-3.226459266161614714e+00,6.558378033761629311e+00,-9.894917083211659303e+00,2.033948489849011665e+01
4.400000000000000022e-01,-1.941485364264152080e+00,8.184952318586246278e+00,-7.275364700837165799e-01,7.495969479149380277e+00,-2.767534588427878361e+00,1.533552101717091887e+00
4.500000000000000111e-01,-2.029133005179125426e+00,8.365963413878926502e+00,-1.673419063724263411e+00,8.570525694737922251e+00,-1.273212643941864997e+01,3.403880458030378975e+01
4.600000000000000200e-01,-2.118674447289851326e+00,8.546640514519889820e+00,-2.547041281112956135e+00,9.198924143016506960e+00,-1.464677631289332993e+01,1.457623479045878412e+00
4.700000000000000289e-01,-2.210106155653514648e+00,8.726976487686572526e+00,-3.319643446593062208e+00,8.391148212648690929e+00,-1.555191996706821200e+01,4.940336984477049498e-01
4.799999999999999822e-01,-2.303424520702825440e+00,8.906964214023536996e+00,-4.166096907267975435e-01,9.713792205835339644e+00,5.739050694670568831e+00,1.086781684616271093e+01
