ts,linPos_x,linPos_y,linPos_z,linVel_x,linVel_y,linVel_z,linAcc_x,linAcc_y,linAcc_z,force_x,force_y,force_z,torque_x,torque_y,torque_z,euler_x,euler_y,euler_z,angVel_x,angVel_y,angVel_z,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z
1731876816419.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.728759765625,-163.2562255859375,-16203.2412109375,27.584562301635742,-30.678640365600586,70.11324310302734,44.567596435546875,-0.025044012814760208,-0.20865270495414734
1731876816453.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-104.38113403320312,-145.6220245361328,-16390.119140625,89.64752197265625,62.31272888183594,-2.514846086502075,44.902610778808594,-0.017933616414666176,-0.010721540078520775
1731876816470.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.22953033447266,-183.70005798339844,-16432.17578125,29.249042510986328,-16.255037307739258,17.77604866027832,44.956634521484375,0.029666895046830177,0.04696078598499298
1731876816470.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.22953033447266,-183.70005798339844,-16432.17578125,29.249042510986328,-16.255037307739258,17.77604866027832,44.956634521484375,0.029666895046830177,0.04696078598499298
1731876816520.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107.08438873291016,-66.8988265991211,-16521.990234375,2.700272798538208,0.18154029548168182,36.58980178833008,44.60076141357422,0.16783371567726135,0.49614518880844116
1731876816536.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2916259765625,-132.5080108642578,-16269.380859375,13.160005569458008,-49.64813995361328,43.912723541259766,44.929290771484375,-0.2786307632923126,0.052009470760822296
1731876816570.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.936423301696777,38.419944763183594,-16433.189453125,-89.59696197509766,1.6235672235488892,-0.5473399758338928,44.76181411743164,0.3620492219924927,-0.12481318414211273
1731876816570.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.936423301696777,38.419944763183594,-16433.189453125,-89.59696197509766,1.6235672235488892,-0.5473399758338928,44.76181411743164,0.3620492219924927,-0.12481318414211273
1731876816620.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25744342803955,218.12155151367188,-16550.05859375,143.25482177734375,37.219154357910156,36.71585464477539,44.31926727294922,0.25440141558647156,0.25175002217292786
1731876816637.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0694122314453,-43.465274810791016,-16336.755859375,-1.2472169399261475,-9.374571800231934,37.494163513183594,44.60408020019531,-0.33929866552352905,0.19457879662513733
1731876816670.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.86433792114258,84.49931335449219,-16450.900390625,-75.80270385742188,-147.30596923828125,-3.1587629318237305,44.617122650146484,0.030579648911952972,-0.0850159227848053
1731876816670.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.86433792114258,84.49931335449219,-16450.900390625,-75.80270385742188,-147.30596923828125,-3.1587629318237305,44.617122650146484,0.030579648911952972,-0.0850159227848053
1731876816687.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.780200004577637,-158.57875061035156,-16483.998046875,62.91605758666992,74.54776763916016,-15.036705017089844,44.89723587036133,0.06447426974773407,-0.3737947642803192
1731876816737.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8983075618743896,118.98088073730469,-16308.455078125,59.64402389526367,30.7413330078125,0.6521672010421753,44.80306625366211,0.19811396300792694,0.11261232942342758
1731876816753.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.124176025390625,-107.46016693115234,-16320.9228515625,-49.53363800048828,83.66746520996094,84.99647521972656,45.4157600402832,-0.3430109918117523,0.23708927631378174
1731876816770.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.72942352294922,3.8092875480651855,-16431.294921875,78.19466400146484,-78.6216812133789,-90.88434600830078,45.40180587768555,0.5261852145195007,-0.022764213383197784
1731876816787.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35677582025527954,-11.044524192810059,-16539.6484375,-82.23165893554688,-30.465431213378906,-25.659244537353516,45.450740814208984,-0.21673999726772308,-0.28142842650413513
1731876816837.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.239334106445312,-46.476871490478516,-16432.37890625,-54.21662521362305,-77.60615539550781,-6.547641277313232,45.21383285522461,0.2854340374469757,-0.14373721182346344
1731876816853.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.21314239501953,-82.49164581298828,-16491.7265625,-22.770099639892578,76.9786148071289,-34.208251953125,45.095664978027344,-0.01465373020619154,-0.43224501609802246
1731876816888.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03191637992858887,0.0,0.0,-16.389869689941406,-1.096038818359375,-16321.8671875,-280.9296569824219,-3987.3583984375,-30.00775909423828,45.41050338745117,-0.29793843626976013,0.21215307712554932
1731876816888.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03191637992858887,0.0,0.0,-16.389869689941406,-1.096038818359375,-16321.8671875,-280.9296569824219,-3987.3583984375,-30.00775909423828,45.41050338745117,-0.29793843626976013,0.21215307712554932
1731876816904.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03657348081469536,0.0,0.0,-0.023392507806420326,0.0,0.0,274.6991271972656,142.97100830078125,-16337.1171875,-218.29039001464844,-49.87794494628906,-133.14291381835938,45.10881805419922,-0.3157235383987427,0.15355536341667175
1731876816954.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07066820561885834,0.0,0.0,-0.006352454889565706,0.0,0.0,20.296003341674805,-25.88164710998535,-16615.951171875,16.25863265991211,64.40512084960938,62.914703369140625,44.59721755981445,-0.03168846666812897,-0.03606797009706497
1731876816971.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07794757932424545,0.0,0.0,0.010602908208966255,0.0,0.0,47.87995910644531,29.79514503479004,-16400.203125,247.51454162597656,-25.58045196533203,27.205598831176758,45.12010955810547,0.476235955953598,-0.605093240737915
1731876816987.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06579754501581192,0.0,0.0,0.019041623920202255,0.0,0.0,-104.98477935791016,-36.28066635131836,-16351.3310546875,192.6673583984375,129.5294952392578,-97.49840545654297,45.27449417114258,-0.07706017047166824,-0.42224547266960144
1731876817004.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04397744685411453,0.0,0.0,0.027441568672657013,0.0,0.0,216.76283264160156,-45.19602966308594,-16247.923828125,164.62042236328125,-29.78314208984375,-10.21410846710205,45.436588287353516,0.3464495539665222,-0.130262091755867
1731876817054.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037994384765625,0.0,0.0,0.0607176274061203,0.0,0.0,-122.19629669189453,-1.6616973876953125,-16229.6279296875,375.42449951171875,-85.56785583496094,19.36765480041504,44.77926254272461,-0.20802782475948334,0.29337194561958313
