ts,linPos_x,linPos_y,linPos_z,linVel_x,linVel_y,linVel_z,linAcc_x,linAcc_y,linAcc_z,force_x,force_y,force_z,torque_x,torque_y,torque_z,euler_x,euler_y,euler_z,angVel_x,angVel_y,angVel_z,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z
1731876479017.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.665374755859375,12.926910400390625,75.7466812133789,-0.11639990657567978,0.14866100251674652,0.0,3665.230712890625,-2681.054931640625,-15742.0927734375,-874.1484375,1116.4251708984375,0.0,10.798629760742188,-42.579505920410156,9.766011238098145
1731876479035.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.538543701171875,13.094879150390625,75.77584838867188,-0.12048698216676712,0.14503109455108643,0.0,3712.02880859375,-2644.409423828125,-15737.326171875,-904.8418579101562,1089.1650390625,0.0,10.769686698913574,-42.602169036865234,9.698914527893066
1731876479051.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.406890869140625,13.2587890625,75.80393981933594,-0.12443810701370239,0.14145058393478394,7.450580596923828e-09,3757.665771484375,-2606.4951171875,-15732.8193359375,-934.5142822265625,1062.27587890625,5.595290713245049e-05,10.741657257080078,-42.625457763671875,9.627429962158203
1731876479085.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.270538330078125,13.418731689453125,75.83097076416016,-0.13217857480049133,0.13422557711601257,-3.725290298461914e-09,3802.16796875,-2567.347412109375,-15728.5625,-992.6442260742188,1008.0169677734375,-2.7976453566225246e-05,10.714531898498535,-42.64931869506836,9.551671028137207
1731876479101.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.124969482421875,13.570587158203125,75.85625457763672,-0.1359667032957077,0.13058416545391083,3.725290298461914e-09,3844.392822265625,-2525.77099609375,-15725.03125,-1021.0925903320312,980.67041015625,2.7976453566225246e-05,10.68900203704834,-42.67445755004883,9.467620849609375
1731876479135.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.820098876953125,13.861846923828125,75.90361022949219,-0.14360909163951874,0.12301644682884216,-9.313225746154785e-09,3925.304931640625,-2439.03466796875,-15718.7314453125,-1078.4859619140625,923.8378295898438,-6.994113937253132e-05,10.640729904174805,-42.7261962890625,9.286931037902832
1731876479135.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.820098876953125,13.861846923828125,75.90361022949219,-0.14360909163951874,0.12301644682884216,-9.313225746154785e-09,3925.304931640625,-2439.03466796875,-15718.7314453125,-1078.4859619140625,923.8378295898438,-6.994113937253132e-05,10.640729904174805,-42.7261962890625,9.286931037902832
1731876479184.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49725341796875,14.136383056640625,75.94670867919922,-0.15451869368553162,0.11166703701019287,-1.862645149230957e-09,4001.478271484375,-2347.6201171875,-15713.443359375,-1160.4156494140625,838.6051635742188,-1.3988226783112623e-05,10.596187591552734,-42.77964401245117,9.089716911315918
1731876479201.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.324920654296875,14.262969970703125,75.96601867675781,-0.15806804597377777,0.10782648622989655,-5.587935447692871e-09,4036.570068359375,-2299.0615234375,-15711.6474609375,-1187.07080078125,809.7631225585938,-4.196468216832727e-05,10.576006889343262,-42.80756759643555,8.981108665466309
1731876479234.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96734619140625,14.503082275390625,76.00151062011719,-0.16521532833576202,0.09985567629337311,-1.862645149230957e-09,4103.07958984375,-2198.598876953125,-15708.7998046875,-1240.7459716796875,749.9033813476562,-1.3988226783112623e-05,10.538464546203613,-42.86426544189453,8.751877784729004
1731876479234.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96734619140625,14.503082275390625,76.00151062011719,-0.16521532833576202,0.09985567629337311,-1.862645149230957e-09,4103.07958984375,-2198.598876953125,-15708.7998046875,-1240.7459716796875,749.9033813476562,-1.3988226783112623e-05,10.538464546203613,-42.86426544189453,8.751877784729004
1731876479251.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7821044921875,14.616424560546875,76.0177001953125,-0.1686306893825531,0.09592904150485992,1.862645149230957e-09,4134.44970703125,-2146.6962890625,-15707.7529296875,-1266.3948974609375,720.4148559570312,1.3988226783112623e-05,10.521109580993652,-42.892982482910156,8.63122844696045
1731876479301.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.395111083984375,14.8251953125,76.04647827148438,-0.1787308156490326,0.08383364975452423,1.862645149230957e-09,4192.1884765625,-2038.6009521484375,-15706.849609375,-1342.24560546875,629.5800170898438,1.3988226783112623e-05,10.489840507507324,-42.951507568359375,8.374458312988281
1731876479318.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19354248046875,14.92047119140625,76.0591049194336,-0.1820148378610611,0.07973362505435944,1.862645149230957e-09,4218.5205078125,-1982.4552001953125,-15706.986328125,-1366.908203125,598.7893676757812,1.3988226783112623e-05,10.475907325744629,-42.981197357177734,8.238444328308105
1731876479335.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.988006591796875,15.011138916015625,76.07078552246094,-0.1852359175682068,0.0756261795759201,1.862645149230957e-09,4243.568359375,-1925.2828369140625,-15707.3515625,-1391.0980224609375,567.9429321289062,1.3988226783112623e-05,10.46287727355957,-43.01093292236328,8.098637580871582
1731876479351.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.778533935546875,15.09716796875,76.08152770996094,-0.18838229775428772,0.07152779400348663,-7.450580596923828e-09,4267.32421875,-1867.090087890625,-15707.9404296875,-1414.72705078125,537.1646118164062,-5.595290713245049e-05,10.45074462890625,-43.04066467285156,7.95505428314209
1731876479401.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34454345703125,15.2506103515625,76.09983825683594,-0.19754989445209503,0.059057656675577164,0.0,4309.671875,-1746.7877197265625,-15710.216796875,-1483.574462890625,443.5154724121094,0.0,10.429688453674316,-43.10043716430664,7.653353691101074
1731876479418.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12017822265625,15.317901611328125,76.10746002197266,-0.20048271119594574,0.05488701909780502,-3.725290298461914e-09,4328.2333984375,-1684.7137451171875,-15711.89453125,-1505.599609375,412.1944885253906,-2.7976453566225246e-05,10.420736312866211,-43.130367279052734,7.495323181152344
