ts,linPos_x,linPos_y,linPos_z,linVel_x,linVel_y,linVel_z,linAcc_x,linAcc_y,linAcc_z,force_x,force_y,force_z,torque_x,torque_y,torque_z,euler_x,euler_y,euler_z,angVel_x,angVel_y,angVel_z,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z
1731876144470.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.476898193359375,0.0,0.0,-0.11737414449453354,0.0,0.0,0.0,-3818.344970703125,-15932.849609375,-881.46484375,0.0,0.0,45.0,0.0,0.0
1731876144504.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.201507568359375,0.0,0.0,-0.12849996984004974,0.0,0.0,0.0,-3741.72021484375,-15951.0185546875,-965.0183715820312,0.0,0.0,45.0,0.0,0.0
1731876144504.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.201507568359375,0.0,0.0,-0.12849996984004974,0.0,0.0,0.0,-3741.72021484375,-15951.0185546875,-965.0183715820312,0.0,0.0,45.0,0.0,0.0
1731876144553.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.90081787109375,0.0,0.0,-0.14451859891414642,0.0,0.0,0.0,-3657.9580078125,-15970.4365234375,-1085.316162109375,0.0,0.0,45.0,0.0,0.0
1731876144570.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7352294921875,0.0,0.0,-0.14993974566459656,0.0,0.0,0.0,-3611.787109375,-15980.9404296875,-1126.0283203125,0.0,0.0,45.0,0.0,0.0
1731876144587.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56341552734375,0.0,0.0,-0.15522140264511108,0.0,0.0,0.0,-3563.8486328125,-15991.69921875,-1165.69287109375,0.0,0.0,45.0,0.0,0.0
1731876144604.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385528564453125,0.0,0.0,-0.16046935319900513,0.0,0.0,0.0,-3514.181884765625,-16002.6865234375,-1205.1043701171875,0.0,0.0,45.0,0.0,0.0
1731876144620.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.20166015625,0.0,0.0,-0.1656629741191864,0.0,0.0,0.0,-3462.809326171875,-16013.8818359375,-1244.1077880859375,0.0,0.0,45.0,0.0,0.0
1731876144670.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.810211181640625,0.0,0.0,-0.18090598285198212,0.0,0.0,0.0,-3353.321533203125,-16037.166015625,-1358.580810546875,0.0,0.0,45.0,0.0,0.0
1731876144687.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6029052734375,0.0,0.0,-0.18593424558639526,0.0,0.0,0.0,-3295.274658203125,-16049.193359375,-1396.3424072265625,0.0,0.0,45.0,0.0,0.0
1731876144704.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38983154296875,0.0,0.0,-0.19085611402988434,0.0,0.0,0.0,-3235.5673828125,-16061.337890625,-1433.3050537109375,0.0,0.0,45.0,0.0,0.0
1731876144721.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.171112060546875,0.0,0.0,-0.19581440091133118,0.0,0.0,0.0,-3174.23193359375,-16073.5703125,-1470.5411376953125,0.0,0.0,45.0,0.0,0.0
1731876144754.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.946746826171875,0.0,0.0,-0.20544864237308502,0.0,0.0,0.0,-3111.26513671875,-16085.8798828125,-1542.89306640625,0.0,0.0,45.0,0.0,0.0
1731876144787.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.470489501953125,0.0,0.0,-0.2147601842880249,0.0,0.0,0.0,-2977.44921875,-16111.185546875,-1612.821533203125,0.0,0.0,45.0,0.0,0.0
1731876144804.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.224395751953125,0.0,0.0,-0.21945405006408691,0.0,0.0,0.0,-2908.22216796875,-16123.82421875,-1648.0718994140625,0.0,0.0,45.0,0.0,0.0
1731876144821.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.972930908203125,0.0,0.0,-0.22395238280296326,0.0,0.0,0.0,-2837.428466796875,-16136.4326171875,-1681.853759765625,0.0,0.0,45.0,0.0,0.0
1731876144854.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.716278076171875,0.0,0.0,-0.23289312422275543,0.0,0.0,0.0,-2765.118408203125,-16148.9794921875,-1748.99755859375,0.0,0.0,45.0,0.0,0.0
1731876144887.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.177581787109375,0.0,0.0,-0.24146343767642975,0.0,0.0,0.0,-2613.1650390625,-16174.2646484375,-1813.359619140625,0.0,0.0,45.0,0.0,0.0
1731876144904.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90087890625,0.0,0.0,-0.24574202299118042,0.0,0.0,0.0,-2535.023193359375,-16186.6953125,-1845.4912109375,0.0,0.0,45.0,0.0,0.0
1731876144904.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90087890625,0.0,0.0,-0.24574202299118042,0.0,0.0,0.0,-2535.023193359375,-16186.6953125,-1845.4912109375,0.0,0.0,45.0,0.0,0.0
1731876144954.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33294677734375,0.0,0.0,-0.2579769790172577,0.0,0.0,0.0,-2374.454345703125,-16211.02734375,-1937.3741455078125,0.0,0.0,45.0,0.0,0.0
1731876144971.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.037322998046875,0.0,0.0,-0.26192784309387207,0.0,0.0,0.0,-2290.780517578125,-16223.064453125,-1967.044677734375,0.0,0.0,45.0,0.0,0.0
1731876145004.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4326171875,0.0,0.0,-0.2695743143558502,0.0,0.0,0.0,-2119.43603515625,-16246.3359375,-2024.4686279296875,0.0,0.0,45.0,0.0,0.0
1731876145004.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4326171875,0.0,0.0,-0.2695743143558502,0.0,0.0,0.0,-2119.43603515625,-16246.3359375,-2024.4686279296875,0.0,0.0,45.0,0.0,0.0
1731876145054.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.810546875,0.0,0.0,-0.2804715633392334,0.0,0.0,0.0,-1942.9254150390625,-16268.3896484375,-2106.3056640625,0.0,0.0,45.0,0.0,0.0
1731876145070.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4891357421875,0.0,0.0,-0.2839248478412628,0.0,0.0,0.0,-1851.6346435546875,-16279.0322265625,-2132.2392578125,0.0,0.0,45.0,0.0,0.0
1731876145087.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.163787841796875,0.0,0.0,-0.28735628724098206,0.0,0.0,0.0,-1759.1666259765625,-16289.28515625,-2158.009033203125,0.0,0.0,45.0,0.0,0.0
1731876145104.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.834503173828125,0.0,0.0,-0.290688693523407,0.0,0.0,0.0,-1665.5220947265625,-16299.126953125,-2183.034912109375,0.0,0.0,45.0,0.0,0.0
1731876145121.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50140380859375,0.0,0.0,-0.2939811944961548,0.0,0.0,0.0,-1570.7364501953125,-16308.533203125,-2207.76123046875,0.0,0.0,45.0,0.0,0.0
1731876145170.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820556640625,0.0,0.0,-0.3031507134437561,0.0,0.0,0.0,-1376.8353271484375,-16326.0458984375,-2276.623046875,0.0,0.0,45.0,0.0,0.0
1731876145187.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.473175048828125,0.0,0.0,-0.30612853169441223,0.0,0.0,0.0,-1277.82666015625,-16334.09375,-2298.986083984375,0.0,0.0,45.0,0.0,0.0
